icb_name,ods_code,press_email,press_email_alt,press_source_url,foi_email,foi_email_alt,foi_source_url,notes
Nottingham and Nottinghamshire ICB,QT1,nnicb-nn.dln-communications@nhs.net,nnicb-nn.comms@nhs.net,https://notts.icb.nhs.uk/contact-us/general-enquiries/,nnicb-nn.foi@nhs.net,,https://notts.icb.nhs.uk/contact-us/freedom-of-information/,Live page returning 504 gateway timeout; email confirmed via Wayback Machine archive (Jan 2026 capture) | press primary updated 2026-07-18 from https://notts.icb.nhs.uk/contact-us/general-enquiries/ (page now lists nnicb-nn.dln-communications@nhs.net for media/press); prior value nnicb-nn.comms@nhs.net moved to _alt
"Shropshire, Telford and Wrekin ICB",QOC,stw.communications@nhs.net,,https://www.shropshiretelfordandwrekin.nhs.uk/contact-us/,stw.ssot.foi@nhs.net,mlcsu.foiteam@nhs.net,https://www.shropshiretelfordandwrekin.nhs.uk/contact-us/,2026-08-22: stw.communications@nhs.net and stw.ssot.foi@nhs.net both re-confirmed on /contact-us/.
Somerset ICB,QSL,somicb.communications@nhs.net,,https://nhssomerset.nhs.uk/contact-us/,somicb.foi@nhs.net,somccg.foi@nhs.net,https://nhssomerset.nhs.uk/about-us/freedom-of-information/,
South East London ICB,QKK,media@selondonics.nhs.uk,,https://www.selondonics.org/who-we-are/contact-us/,FOI@selondonics.nhs.uk,,https://www.selondonics.org/who-we-are/contact-us/,"source_urls updated 2026-09-12: /contact-us/ now 301-redirects to /who-we-are/contact-us/. Page emails are Cloudflare-obfuscated; decoded this run to media@selondonics.nhs.uk and FOI@selondonics.nhs.uk, both matching the stored values (addresses unchanged)."
South West London ICB,QWE,pressoffice@swlondon.nhs.uk,,https://www.southwestlondon.icb.nhs.uk/contact/,foi@swlondon.nhs.uk,swl.igandfoiteam@swlondon.nhs.uk,https://www.southwestlondon.icb.nhs.uk/contact/freedom-of-information-requests/,
South Yorkshire ICB,QF7,syicb.communications@nhs.net,,https://southyorkshire.icb.nhs.uk/contact-us,syicb-sheffield.freedomofinformation@nhs.net,,https://southyorkshire.icb.nhs.uk/our-information/freedom-information-foi,
Staffordshire and Stoke-on-Trent ICB,QNC,ssotics.comms@staffsstoke.icb.nhs.uk,mediacsu@nhs.net,https://staffsstoke.icb.nhs.uk/contact-us/,staffsstokefoi@staffsstoke.icb.nhs.uk,,https://staffsstoke.icb.nhs.uk/your-nhs-integrated-care-board/freedom-of-information/,
Surrey and Sussex ICB,S9B9J,sxicb.surreyandsussex.media@nhs.net,sxicb.comms@nhs.net,https://www.surreysussex.icb.nhs.uk/contact-us/,sxicb.foi@nhs.net,,https://www.sussex.ics.nhs.uk/nhs-sussex/freedom-of-information/,"Legacy Sussex ICB address â€” new Surrey and Sussex site has form only. Likely still routed correctly.; Input seed was Sussex ICS website; Surrey may have separate contact [2026-08-01] press_email primary updated 2026-08-01 from https://www.surreysussex.icb.nhs.uk/contact-us/; prior value sxicb.comms@nhs.net moved to _alt. The ICB moved to the surreysussex.icb.nhs.uk domain on 1 April 2026 and states the old sussex.ics.nhs.uk site is no longer updated and will be archived — FOI is still only published on the old site (sxicb.foi@nhs.net, unchanged), so foi_source_url is left pointing there for now and should be revisited once the new site publishes an FOI page."
Thames Valley ICB,S0E4D,bobicb.media@nhs.net,frimleyicb.public@nhs.net,https://thamesvalley.icb.nhs.uk/contact-us,frimleyicb.foi@nhs.net,SCWCSU.FOI@nhs.net,https://thamesvalley.icb.nhs.uk/contact-us/freedom-of-information,Predecessor Frimley general address â€” new merged Thames Valley ICB has no dedicated press email yet.; Email obfuscated on page (joomla-hidden-mail base64); decoded from page source. Handled by South Central and West CSU | press primary updated 2026-06-06 from https://thamesvalley.icb.nhs.uk/contact-us (dedicated media address bobicb.media@nhs.net now shown; prior frimleyicb.public@nhs.net to _alt); foi primary updated 2026-06-06 from https://thamesvalley.icb.nhs.uk/contact-us/freedom-of-information (frimleyicb.foi@nhs.net now shown; prior SCWCSU.FOI@nhs.net to _alt).
West Yorkshire ICB,QWO,wyicb.wymedia@nhs.net,,https://www.wypartnership.co.uk/contact-us,wyicb.foi@nhs.net,wyicb-wak.foi@nhs.net,https://www.westyorkshire.icb.nhs.uk/contact/submit-information-request,
West and North London ICB,Z9B2Z,nhsnwl.media@nhs.net,,https://www.nwlondonicb.nhs.uk/contact-us/media-enquiries,nhsnwl.foi@nhs.net,,https://www.westandnorthlondon.icb.nhs.uk/how-we-are-run/your-information-feedback-and-your-rights/freedom-information-requests,New merged entity from 1 April 2026 (NCL + NW London). Site is hosted at nwlondonicb.nhs.uk with new branding at westandnorthlondon.icb.nhs.uk.
