ods_code,name,alt_names,predecessor_codes,merger_date,region,correspondent,url,url_root,cluster_id,cluster_meeting_url,notes,access_notes,needs_playwright,pack_pattern_hints,exclude_patterns,last_validated,validation_status,validation_notes
QGH,Herefordshire and Worcestershire ICB,,,,Midlands,,https://herefordshireandworcestershire.icb.nhs.uk/meetings/board-papers,https://www.hwics.org.uk,CW-HW,https://www.happyhealthylives.uk/integrated-care-board/about-us/icb-board-meetings/,Joint Board Meeting in Common with Coventry and Warwickshire (QWU); papers hosted on both happyhealthylives.uk and hwics.org.uk,"The current URL IS correct and DOES surface dated board papers (title 'Board papers :: Herefordshire and Worcestershire Integrated Care System'); the validator's 1691-char read was a transient/partial render. The page shows only the NEXT/most-recent meeting (Wednesday 20 May 2026) with its agenda and item PDFs; the historical archive lives at the sibling page /meetings/past-board-papers (18 Mar 2026, 21 Jan 2026, 19 Nov 2025...). The actual document files are NOT on the icb.nhs.uk domain, they are served from the ICS document store at www.hwics.org.uk/download_file/<id>/463. Crawler should fetch both /meetings/board-papers (current) and /meetings/past-board-papers (archive) and harvest the hwics.org.uk/download_file links. Prefer the 'Agenda 00 Public Board <date>' PDF as the anchor. Papers may be branded 'CWHW' cluster but are still the H&W ICB Board; do not confuse with the ICP or committee items.",False,hwics.org.uk/download_file/;Agenda 00 Public Board;CEO report;Public Board;Finance Plan,partnership;icp;Committee Escalation,2026-06-06,papers_found,"Current URL surfaces the 20 May 2026 board pack; full archive at /meetings/past-board-papers, files hosted on hwics.org.uk."
QJ2,Derby and Derbyshire ICB,,,,Midlands,,https://joinedupcarederbyshire.co.uk/derbyshire-integrated-care-board/integrated-care-board-meeting-papers/,https://www.derbyandderbyshireicb.nhs.uk,DLN,https://notts.icb.nhs.uk/about-us/our-icb-board/,DLN cluster (Derby + Lincs + Notts) holds joint Boards in Common; cluster papers hosted on notts.icb.nhs.uk,"joinedupcarederbyshire.co.uk IS the current, correct Derby & Derbyshire ICB site (confirmed live, 2026 content). The flagged URL (/integrated-care-board-meetings/) is the schedule/dates page and only links one stray PDF, hence 'no papers visible'. The actual papers archive is the SIBLING page /derbyshire-integrated-care-board/integrated-care-board-meeting-papers/ (title 'Integrated Care Board meeting papers'), which lists every meeting 2020-2026 with download links. Papers are served via WordPress Download Manager pretty-URLs of the form /download/<slug>/ that 302-redirect to the actual PDF on the same domain. Static-fetchable. Since the DLN cluster (Derbyshire/Lincolnshire/Nottinghamshire) formed, recent packs are joint 'DLN ICB Board'/'Board meeting in common' documents, these ARE the Derbyshire ICB board papers (each ICB remains a separate legal entity and publishes the same pack on its own site). Crawler: index the meeting-papers page and follow /download/<slug>/ links. Prefer the 'DLN ICB Board Papers <date>' pack. Exclude ICP and committee-minutes links.",False,/download/;dln-icb-board-papers;ddicb-board-meeting-in-public-meeting-pack;icb-board-agenda;DLN-ICB-Board;wpdmdl=,partnership;icp;committee-minutes;ratified-minutes,2026-06-06,papers_found,Sibling 'meeting-papers' page lists full 2025-2026 DLN/DDICB board packs via /download/ redirects to PDFs on the same domain.
QJM,Lincolnshire ICB,,,,Midlands,,https://lincolnshire.icb.nhs.uk/about-us/our-board-and-committees/icb-board-meetings/,https://lincolnshire.icb.nhs.uk,DLN,https://notts.icb.nhs.uk/about-us/our-icb-board/,DLN cluster; transformation fund page at https://lincolnshire.icb.nhs.uk/transformation-fund — note the April 2026 walk-back text,Strategy: landing surfaces board papers directly (mix of dated PDFs and/or year links). Static fetch works. Prefer the main combined board pack; filter observer notes and Q&A. Pattern A/B.,False,Public Board Pack;Board Papers;Agenda and Papers,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=0, year_archives=1, meeting_subpages=6."
QT1,Nottingham and Nottinghamshire ICB,,,,Midlands,,https://notts.icb.nhs.uk/about-us/our-icb-board/,https://notts.icb.nhs.uk,DLN,https://notts.icb.nhs.uk/about-us/our-icb-board/,DLN cluster; hosts joint board pack PDFs at /wp-content/uploads/sites/2/,"This is the correct, fully-populated Nottingham & Nottinghamshire ICB Board page (title 'Our Board - NHS Nottingham and Nottinghamshire ICB'). Static-fetchable; lists every 2025-2026 meeting with direct 'Agenda and Papers' PDF links hosted on the same domain at /wp-content/uploads/sites/2/<yyyy>/<mm>/...pdf. The validator saw only 1 dated PDF likely due to lazy-loaded accordions, but a full fetch reveals the complete index (21 May 2026, 19 Mar 2026, 15 Jan 2026, 20 Nov 2025, 10 Sep 2025, 9 Jul 2025, 14 May 2025). Recent packs are named 'DLN-ICB-Board-<date>.pdf' reflecting the Derbyshire/Lincolnshire/Nottinghamshire cluster 'board meeting in common'; these are the Notts ICB board papers. Crawler: fetch this page and harvest the /wp-content/uploads/.../*.pdf links; prefer the 'DLN-ICB-Board-papers-<date>.pdf'/'ICB-Board-<date>.pdf' pack and the 'Cluster-Board-Meeting-Summary' for the readout. Exclude ICP and committee links.",False,/wp-content/uploads/sites/2/;DLN-ICB-Board;NNICB-Board;ICB-Board-;ICB-Public-Board-papers;Cluster-Board-Meeting-Summary,partnership;icp;committee;healthandcarenotts.co.uk,2026-06-06,papers_found,Page is a full board-papers index with direct dated PDF links for all 2025-2026 meetings on the same domain.
QK1,"Leicester, Leicestershire and Rutland ICB",LLR ICB,,,Midlands,,https://leicesterleicestershireandrutland.icb.nhs.uk/about/board-meetings/,https://leicesterleicestershireandrutland.icb.nhs.uk,LNR,https://leicesterleicestershireandrutland.icb.nhs.uk/about-us/our-board/board-meeting-papers/,LNR cluster Board in Common with Northamptonshire (QPM),,,,,,,
QPM,Northamptonshire ICB,,,,Midlands,,https://www.icnorthamptonshire.org.uk/documents?media_folder=2078&root_folder=Public%20Board%20and%20Committee%20Meeting%20papers%20-%20ICB,https://www.icnorthamptonshire.org.uk,LNR,https://leicesterleicestershireandrutland.icb.nhs.uk/about-us/our-board/board-meeting-papers/,LNR cluster Board in Common with LLR (QK1),"Pattern B/F: the configured /icbboardmeetings landing only lists upcoming meeting dates and event sub-pages with no published PDFs ('Papers will be available nearer the date'), so the working URL is the document-library 'Public Board and Committee Meeting papers - ICB' repository on the ICB's own domain. It exposes per-year folders (ICB Board papers 2022/2023/2024/2025/2026); the 2026 folder (media_folder=2899) holds dated combined PDFs. NOTE: these are joint 'LLR ICB & NICB Board meeting in common' packs for the Leicester-Northamptonshire-Rutland (LNR) cluster, legitimately hosted on Northamptonshire ICB's own domain (icnorthamptonshire.org.uk) via download.cfm links. Take the largest combined PUBLIC papers PDF per meeting and filter the repository to the ICB Board year folders, not committee papers.",False,LLR & NICB Board meeting in Common;Board meetings in common PUBLIC papers;download.cfm?doc=;ICB Board papers 2026;media_folder=2899,Committee;ICP Board;Audit;Remuneration;Finance Committee;Quality Committee,2026-06-04,papers_found,"Document-library ICB Board year folders list dated joint LLR & NICB board-in-common public papers for Feb, Mar and Apr 2026."
QOC,"Shropshire, Telford and Wrekin ICB",STW ICB,,,Midlands,,https://www.shropshiretelfordandwrekin.nhs.uk/about-us/how-we-are-run/meetings-committees-and-events/governing-body-meetings/previous-board-meetings/,https://www.shropshiretelfordandwrekin.nhs.uk,STW-SSOT,https://www.shropshiretelfordandwrekin.nhs.uk/about-us/how-we-are-run/meetings-committees-and-events/governing-body-meetings/,Joint Board in Common with Staffs and Stoke-on-Trent (QNC),"Pattern A/F: the configured governing-body-meetings landing only shows the forward meeting schedule with no PDFs, so the working URL is its 'Previous Board Meetings' child page, which lists every past meeting by date with directly-linked Agenda Papers (plus separate Appendices and Public Questions PDFs) on the ICB's own domain. NOTE: from 2026 these are joint 'NHS STW & SSOT Board in Common' / 'Integrated Care Board' packs covering the Shropshire-Telford-Wrekin and Staffordshire-Stoke (STW-SSOT) cluster, hosted on STW ICB's own domain (a few older 2025 files sit on the partner shroandtel.co.uk domain). Take the largest combined Agenda Papers PDF and pair it with the Appendices pack for the same date; skip standalone Public Questions and committee files.",False,NHS-STW-SSOT-Board-in-Common-Agenda-Papers;NHS-STW-Integrated-Care-Board-Agenda-Papers;Combined-Papers_STW-Board;Appendices-Pack;wp-content/uploads/,Public-Questions;questions-from-members-of-public;Committee;ICP;Appendices (when a combined pack exists),2026-06-04,papers_found,Previous Board Meetings page lists dated ICB Board / Board-in-Common agenda paper PDFs through April 2026 with recordings.
QNC,Staffordshire and Stoke-on-Trent ICB,SSOT ICB,,,Midlands,,https://staffsstoke.icb.nhs.uk/your-nhs-integrated-care-board/our-publications/board-papers/,https://staffsstoke.icb.nhs.uk,STW-SSOT,https://www.shropshiretelfordandwrekin.nhs.uk/about-us/how-we-are-run/meetings-committees-and-events/governing-body-meetings/,"Joint Board in Common with Shropshire, Telford and Wrekin (QOC)","Pattern B + C: the board-papers landing is a static document library exposing year folders (/board-papers/2025/, /board-papers/2026/). Each year folder lists month sub-folders (e.g. /2025/november-2025/), and each month folder contains a single combined ICB Board pack file accessed via a '...?layout=file' download URL (e.g. .../november-2025/icb-board-meeting-papers-20-november-2025/?layout=file -> 'COMBINED PAPERS ICB Board Meeting ... PUBLIC Session.pdf', ~6 MB). Crawl: year folder -> month folder -> pick the item titled 'ICB Board Meeting Papers <date>' and append ?layout=file. Month folders also contain unrelated items (Easy Read letters, event flyers), so prefer the combined ICB Board papers item only; this is the ICB Board collection, separate from Board briefings and committee collections.",False,/board-papers/YYYY/ -> month sub-folder;/board-papers/YYYY/<month>-YYYY/icb-board-meeting-papers-<date>/?layout=file;title 'ICB Board Meeting Papers <date>' = combined COMBINED PAPERS PUBLIC Session PDF,Board briefings;Committee;Easy Read Letter;event;Clinical Professional Leadership,2026-06-04,papers_found,Year->month folder structure confirmed; November 2025 month folder yields one combined ICB Board papers PDF (~6.44 MB) via the ?layout=file URL.
S1Y5D,Central East ICB,,QHG;QUE;QM7,2026-04-01,East of England,,https://www.hertsandwestessex.ics.nhs.uk/documents/?location=all&type=board-papers&cat=all&date=,https://www.centraleast.icb.nhs.uk,,,"Formed 1 April 2026 from merger of Bedfordshire, Luton and Milton Keynes (QHG, bedfordshirelutonandmiltonkeynes.icb.nhs.uk), Cambridgeshire and Peterborough (QUE, cpics.org.uk), and Hertfordshire and West Essex (QM7, hertsandwestessex.ics.nhs.uk). Predecessor sites still host historical packs.","Pattern C/F: the configured /about/icb/board/ landing only links to members and a meetings-in-public overview with no dated PDFs, so the working URL is the board-papers document archive (type=board-papers), which lists one per-meeting document page per ICB Board meeting in public on the org's own domain. Each per-meeting page (slug 'papers-for-the-integrated-care-board-meeting-in-public-<weekday>-<date>') holds that meeting's pack. NOTE: this org is recorded under the new Central East ICB ODS code (S1Y5D) but still publishes on its legacy Herts and West Essex ICS domain (hertsandwestessex.ics.nhs.uk); the board moved from bi-monthly to quarterly from April 2025, so meetings are sparse (latest 6 Feb 2026). Use the per-meeting document page as the meeting URL and take the combined board pack; exclude Primary Care Transformation Committee papers.",False,papers-for-the-integrated-care-board-meeting-in-public;/documents/;ICB Board category,Primary Care Transformation;Committee;ICP;AGM,2026-06-04,papers_found,Board-papers archive lists dated ICB-Board-categorised meeting packs through 6 February 2026 on the org's own domain.
D7T5G,Essex ICB,NHS Essex,QH8;QJG,2026-04-01,East of England,,https://www.essex.icb.nhs.uk/publications/,https://www.essex.icb.nhs.uk,,,"Formed 1 April 2026 from Mid and South Essex (QH8, midandsouthessex.ics.nhs.uk) plus the North East Essex part of former Suffolk and North East Essex (QJG, suffolkandnortheastessex.icb.nhs.uk). Predecessor sites still host historical packs.","The /publications/ index is the correct landing but does not list dated PDFs directly; it links to per-meeting publication sub-pages titled 'Essex ICB Board Meeting Pack <date>' (e.g. /publications/essex-icb-board-meeting-pack-23-april-2026/), each holding the actual board pack PDF at /wp-content/uploads/YYYY/MM/Part-1-Essex-ICB-Board-Meeting-Pack-<date>.pdf. A crawler should fetch the publications index, follow links whose slug contains 'board-meeting-pack', then extract the wp-content/uploads PDF. Static fetch works (WordPress). Prefer the 'Part 1'/Part I public board pack PDF; ignore Part 2 (confidential) and any ICP/committee items. 2026 board packs live; older packs under earlier upload-month folders.",False,wp-content/uploads/YYYY/MM/Part-1-Essex-ICB-Board-Meeting-Pack-<date>.pdf;/publications/essex-icb-board-meeting-pack-<date>/;Board Meeting Pack <month> <year>,Part-2;Part II;Integrated Care Partnership;ICP;committee;confidential,2026-06-06,papers_found,Confirmed live 23 April 2026 board pack PDF reachable from the publications index via a dated sub-page.
T6Y0W,Norfolk and Suffolk ICB,,QMM;QJG,2026-04-01,East of England,,https://www.norfolkandsuffolk.icb.nhs.uk/about/governance/board-meetings/,https://www.norfolkandsuffolk.icb.nhs.uk,,,"Formed 1 April 2026 from Norfolk and Waveney (QMM, improvinglivesnw.org.uk) plus the Suffolk parts of former Suffolk and North East Essex (QJG, suffolkandnortheastessex.icb.nhs.uk). Predecessor sites still host historical packs.",Strategy: landing surfaces board papers directly (mix of dated PDFs and/or year links). Static fetch works. Prefer the main combined board pack; filter observer notes and Q&A. Pattern A/B.,False,Public Board Pack;Board Papers;Agenda and Papers,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=0, year_archives=0, meeting_subpages=8."
QMF,North East London ICB,NEL ICB,,,London,,https://northeastlondon.icb.nhs.uk/about-us/about-nhs-north-east-london/our-board/board-meetings-and-papers/,https://northeastlondon.icb.nhs.uk,,,Single combined papers pack per board meeting,"This is the correct ICB Board landing; it lists upcoming and past board meeting dates (bi-monthly: e.g. 25 Nov 2025, 28 Jan 2026, 31 Mar 2026), each linking to a per-meeting sub-page under /board-meetings/north-east-london-icb-board-meeting-<n>/ (older under /events/). The actual board pack PDF is attached on the meeting sub-page once papers are published (5 working days before), served either as /wp-content/uploads/YYYY/MM/NHS-North-East-London-ICB-Board-<dd.mm.yyyy>.pdf or via /download-attachment/<id>. Crawl: fetch the landing, follow each board-meeting sub-page, extract the ICB Board pack PDF. Static fetch works (WordPress). Future meetings show only a Teams joining email until papers go live. Prefer the single combined 'NHS North East London ICB Board <date>' pack; exclude borough/place sub-committee, committees-in-common, partnership board, and ICP items.",False,wp-content/uploads/YYYY/MM/NHS-North-East-London-ICB-Board-DD.MM.YYYY.pdf;/board-meetings/north-east-london-icb-board-meeting-<n>/;/download-attachment/<id>,sub-committee;committees-in-common;partnership-board;ICP;place;borough;Health and Wellbeing Board;your-area,2026-06-06,papers_found,Confirmed live ICB Board pack PDF (29 Jan 2025) via the WordPress uploads pattern reached from per-meeting sub-pages.
QKK,South East London ICB,SEL ICB,,,London,,https://www.selondonics.org/icb/meetings-board-papers-reports/icb-meetings/,https://www.selondonics.org,,,"Six borough place committees (Lambeth, Southwark, Lewisham, Greenwich, Bromley, Bexley) publish separately",,,,,,,
QWE,South West London ICB,SWL ICB,,,London,,https://www.southwestlondon.icb.nhs.uk/publications/,https://www.southwestlondon.icb.nhs.uk,,,,"Strategy: landing lists year archives (3 year links this run, e.g. 'Board papers 2025'). Follow each year link to dated PDF listings; main packs typically 5-30MB. Static fetch works. Pattern B.",False,Board Papers;Public Board Pack,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=0, year_archives=3, meeting_subpages=3."
Z9B2Z,West and North London ICB,W&NL ICB,QMJ;QRV,2026-04-01,London,,https://www.westandnorthlondon.icb.nhs.uk/how-we-are-run/meetings/w-plus-nl-board-meetings,https://www.westandnorthlondon.icb.nhs.uk,,,"Formed 1 April 2026 from merger of North Central London (QMJ, nclhealthandcare.org.uk) and North West London (QRV, nwlondonicb.nhs.uk). Predecessor sites still host historical 'Boards in Common' packs from late 2025/early 2026.","Newly merged ICB (NHS North West London + NHS North Central London became NHS West and North London from 1 April 2026). The current board page is correct (rendered title 'West and North London ICB board meetings, agendas and papers') and is the canonical entry point. It lists future board dates (first board 17 Jun 2026, then 22 Jul 2026, 21 Oct 2026, 13 Jan 2027, 24 Mar 2027) and links to three document libraries: (1) its own new W+NL papers library at /how-we-are-run/policies-and-publications/navigate/479/2410 (a JS-rendered Joomla 'navigate' widget with dated folders per meeting), (2) legacy NCL papers at nclhealthandcare.org.uk, (3) legacy NWL papers at nwlondonicb.nhs.uk. Because the org only formed in April 2026, few/no current packs exist yet; new packs appear inside the dated folders of library 2410, which need rendering to expose PDF links. Crawl the navigate endpoint with a JS renderer, open each dated folder, take the combined board pack; for historical 2025 papers fall back to the two legacy domains. Exclude committee, primary care commissioning, and ICP/partnership material.",True,/how-we-are-run/policies-and-publications/navigate/479/2410;navigate/479/2410/<yyyy>/<mm>/<dd>;dated 'Board meetings in public' folders;legacy: nwlondonicb.nhs.uk + nclhealthandcare.org.uk board papers,primary-care-commissioning-committee;Primary Care and Medicines Optimisation Committee;committee;ICP;partnership;public-meetings,2026-06-06,needs_playwright,"Board page is the correct live landing and exposes a dated board-papers document library, but the PDFs sit inside a JS-rendered navigate widget (and legacy archives) so dated PDFs are not visible to a static fetch."
QRL,Hampshire and Isle of Wight ICB,HIOW ICB,,,South East,,https://www.hantsiow.icb.nhs.uk/icb/integrated-care-board-meetings/,https://www.hantsiow.icb.nhs.uk,,,Boundary expanded 1 April 2026 to receive LSOAs transferred from former Frimley ICB (QNQ); ODS code unchanged,"Pattern C: the integrated-care-board-meetings landing is static HTML listing dated ICB Board meetings, each linking to a per-meeting sub-page of the form /icb/integrated-care-board-meetings/navigate/23515/<id>. Each per-meeting page does NOT offer a single combined pack; instead it lists numbered individual paper PDFs (Paper 0 Agenda, Paper 2a Minutes, Paper 4 Chair report, Paper 5 CEO report, Paper 6 BAF, etc.), each downloaded via /download_file/<file-id>/452. To assemble a full pack a crawler must follow each meeting page and fetch all Paper N download_file links (the agenda is 'Paper 0 - Public Agenda'). The /navigate/23515/ branch is the ICB Board; skip other committee/ICP listings.",False,/icb/integrated-care-board-meetings/navigate/23515/<id> per-meeting page;/download_file/<file-id>/452 for each numbered paper PDF;agenda = 'Paper 0 - Public Agenda'; collect all Paper N PDFs (no combined pack),ICP;Integrated Care Partnership;Committee;Confidential;Private,2026-06-04,papers_found,Per-meeting page for 5 November 2025 confirmed listing ~19 individual numbered paper PDFs via /download_file/ links; no single combined pack is published.
QKS,Kent and Medway ICB,,,,South East,,https://www.kentandmedway.icb.nhs.uk/events-calender,https://www.kentandmedway.icb.nhs.uk,,,ICB website board pack links have historically been broken; mirrors sometimes available via shepwayvox.org,"Strategy: landing lists per-meeting entries (18 dated meeting links this run); each links to its own sub-page of PDFs (agenda, papers, finance). Filter to the main Board (skip ICP/committee/joint). Prefer the largest 'Agenda and Papers' combined PDF. Static fetch works. Pattern C.",False,Agenda and Papers;Combined Pack;Public Board Pack,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=0, year_archives=0, meeting_subpages=18."
